Street Name,Latitud,Longitud,Timestamp,Current Travel Time (seconds),Free Flow Travel Time (seconds),Distance (meters),Current Speed (km/h),Free Flow Speed (km/h)
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-12T18:12:24.830314,555,442,2252,14.607567567567568,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-12T18:12:26.053839,207,192,1103,19.182608695652174,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-12T18:12:27.426248,898,623,3164,12.684187082405346,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-12T18:12:28.645294,1243,632,5652,16.369428801287206,32.19493670886076
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-12T18:12:29.850573,303,286,1575,18.712871287128714,19.825174825174827
Av. Mazatlán,19.4093511590419,-99.1799697960908,2024-09-12T18:12:31.232285,351,331,1424,14.605128205128205,15.487613293051359
Av. Sonora,"19.421030103159232,",-99.1740015403993,2024-09-12T18:12:32.435531,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
Av. Michoacán,19.4114144570053,-99.1785734600312,2024-09-12T18:12:33.799033,162,180,615,13.666666666666668,12.299999999999999
Alfonso Reyes,19.4099985412365,-99.1793240828505,2024-09-12T18:12:35.024167,350,278,1050,10.8,13.597122302158274
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-12T18:12:36.250226,178,111,768,15.532584269662921,24.90810810810811
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-12T18:12:37.446606,535,272,1110,7.469158878504674,14.691176470588237
Av. México,19.4142938110075,-99.1690154632206,2024-09-12T18:12:38.642348,273,236,967,12.75164835164835,14.750847457627117
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-12T18:42:39.994952,628,442,2252,12.909554140127389,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-12T18:42:41.235949,200,192,1103,19.854,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-12T18:42:42.445776,925,623,3164,12.313945945945948,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-12T18:42:43.678313,1396,632,5652,14.575358166189112,32.19493670886076
Av. Tamaulipas,19.4070344162834,-99.1785081824951,2024-09-12T18:42:44.865154,318,286,1575,17.830188679245282,19.825174825174827
