Id,Vialidad,Inicio,Coordenadas inicio,x1,y1,Coordenadas destino,x2,y2
1,Av. Insurgentes,Av. Benjamín Franklin,"19.403703153280865, -99.16926996113284",19.4037031532808,-99.1692699611328,"19.4229921001133, -99.16315227550801",19.4229921001133,-99.163152275508
2,Av. Nuevo León,Av. Benjamín Franklin,"19.403542470698824, -99.17115305982682",19.4035424706988,-99.1711530598268,"19.413142121368157, -99.17160611799854",19.4131421213681,-99.1716061179985
3,Av. Chapultepec,Av. Veracruz,"19.420340877334226, -99.17672176573215",19.4203408773342,-99.1767217657321,"19.423442370678924, -99.16421684905984",19.4234423706789,-99.1642168490598
4,Av. Oaxaca,Av. Sonora,"19.416052295205603, -99.16986030171391",19.4160522952056,-99.1698603017139,"19.423174342726682, -99.16352664262013",19.4231743427266,-99.1635266426201
5,Cto. Bicentenario,Av. Benjamín Franklin,"19.408068338628578, -99.18417193532242",19.4080683386285,-99.1841719353224,"19.42043660332917, -99.17781797602458",19.4204366033291,-99.1778179760245
6,Av. Tamaulipas,Av. Patriotismo,"19.40703441628342, -99.17850818249516",19.4070344162834,-99.1785081824951,"19.413429311896678, -99.17227602430705",19.4134293118966,-99.172276024307
7,Av. Mazatlán,Av. Patriotismo,"19.40935115904191, -99.17996979609083",19.4093511590419,-99.1799697960908,"19.41796685474707, -99.17505715024832",19.417966854747,-99.1750571502483
8,Av. Sonora,Av. Chapultepec,"19.421030103159232, -99.17400154039935",19.421030103159232,-99.1740015403993,"19.412756936011704, -99.16642833327612",19.4127569360117,-99.1664283332761
9,Av. Michoacán,Av. Mazatlán,"19.41141445700532, -99.1785734600312",19.4114144570053,-99.1785734600312,"19.411517059109713, -99.1741023587965",19.4115170591097,-99.1741023587965
10,Alfonso Reyes,Av. Mazatlán,"19.40999854123656, -99.17932408285057",19.4099985412365,-99.1793240828505,"19.407074328478206, -99.17350403625836",19.4070743284782,-99.1735040362583
11,Amsterdam,Citlaltepetl,"19.409662973381216, -99.17152433553608",19.4096629733812,-99.171524335536,"19.415696839525896, -99.16779119329985",19.4156968395258,-99.1677911932998
12,Amsterdam,Citlaltepelt,"19.40948309284434, -99.17116832546198",19.4094830928443,-99.1711683254619,"19.41505929695397, -99.16688348992717",19.4150592969539,-99.1668834899271
13,Juan Escutia,Cto. Bicentenario,"19.41681006571094, -99.17875896882724",19.4168100657109,-99.1787589688272,"19.413548344444923, -99.17229992891127",19.4135483444449,-99.1722999289112
14,Durango,Av. Veracruz,"19.418141117068817, -99.17476657010856",19.4181411170688,-99.1747665701085,"19.41990384387099, -99.16681991665548",19.4199038438709,-99.1668199166554
15,Av. Alvaro Obregon,Av. Oaxaca,"19.416533391731523, -99.16866091162584",19.4165333917315,-99.1686609116258,"19.417292288896352, -99.16492727669545",19.4172922888963,-99.1649272766954
16,Salamanca,Av. Chapultepec,"19.421828729502597, -99.17023006373202",19.4218287295025,-99.170230063732,"19.417146823463458, -99.16907172703706",19.4171468234634,-99.169071727037
17,Puebla,Av. Oaxaca,"19.422285587323532, -99.16444524068136",19.4222855873235,-99.1644452406813,"19.420318861449964, -99.17330194049126",19.4203188614499,-99.1733019404912
18,Colima,Av. Oaxaca,"19.418054811850595, -99.1682470033675",19.4180548118505,-99.1682470033675,"19.417414967105056, -99.17100673570458",19.417414967105,-99.1710067357045
19,Laredo,Av. Nuevo León,"19.41314433282865, -99.17152871309239",19.4131443328286,-99.1715287130923,"19.412596977648654, -99.17014002039492",19.4125969776486,-99.1701400203949
20,Av. México,Av. Sonora,"19.414293811007518, -99.16901546322066",19.4142938110075,-99.1690154632206,"19.413050409947328, -99.16800919781313",19.4130504099473,-99.1680091978131
