folio_incidente,fecha_registro_incidente,id_reporte,fecha_reporte,hora_reporte,clasificacion,reporte,medio_recepcion,alcaldia_catalogo,colonia_catalogo,longitud,latitud
I-20220101-0001,02/01/2022,R-20220101-0105,01/01/2022,18:33:08,Agua Potable,Fuga,Ciudadano (Call Center),Coyoacan,Cuadrante De San Francisco,-99.16827325,19.34179957
I-20220101-0002,02/01/2022,R-20220101-0106,01/01/2022,18:36:38,Drenaje,Drenaje Obstruido,Ciudadano (Call Center),Xochimilco,San Lorenzo La Cebada,-99.1156446,19.2861811
I-20220101-0003,02/01/2022,R-20220101-0103,01/01/2022,18:12:39,Agua Potable,Fuga,Ciudadano (Call Center),Tlahuac,Barrio Santiago Norte Del Pueblo Santiago Zapotitlan,-99.0302869,19.3005139
I-20220101-0004,02/01/2022,R-20220101-0108,01/01/2022,19:01:39,Agua Potable,Fuga,Ciudadano (Call Center),Tlalnepantla de Baz,Tlalnepantla,-99.15497,19.5438901
I-20220101-0005,02/01/2022,R-20220101-0110,01/01/2022,19:06:23,Agua Potable,Falta de agua,Ciudadano (Call Center),Benito Juarez,Del Valle Sur,-99.17515038,19.36850264
I-20220101-0006,02/01/2022,R-20220101-0111,01/01/2022,19:10:41,Agua Potable,Fuga,Ciudadano (Call Center),Alvaro Obregon,Florida,-99.1799217,19.3607533
I-20220101-0007,02/01/2022,R-20220101-0107,01/01/2022,18:48:14,Agua Potable,Falta de agua,Ciudadano (Call Center),Cuauhtemoc,Asturias,-99.12813664,19.40507814
I-20220101-0008,02/01/2022,R-20220101-0104,01/01/2022,18:13:24,Agua Potable,Fuga,Ciudadano (Call Center),Tlalpan,Miguel Hidalgo 4a Seccion,-99.20703644,19.27389865
I-20220101-0009,02/01/2022,R-20220101-0112,01/01/2022,19:13:08,Agua Potable,Fuga,Ciudadano (Call Center),Tlalpan,Barrio El Capulin,-99.19231618,19.28256756
I-20220101-0010,02/01/2022,R-20220101-0102,01/01/2022,18:11:18,Agua Potable,Fuga,Ciudadano (Call Center),Gustavo A. Madero,Residencial Zacatenco,-99.1256996,19.5003422
I-20220101-0011,02/01/2022,R-20220101-0101,01/01/2022,18:05:26,Agua Potable,Fuga,Ciudadano (Call Center),Tlalpan,Miguel Hidalgo 2a Seccion,-99.19556727,19.2797016
I-20220101-0011,02/01/2022,R-20220101-0046,01/01/2022,12:32:11,Agua Potable,Fuga,Ciudadano (Call Center),Tlalpan,Miguel Hidalgo 2a Seccion,-99.19556727,19.2797016
I-20220101-0012,02/01/2022,R-20220101-0100,01/01/2022,17:59:59,Agua Potable,Falta de tapa en valvula,Ciudadano (Call Center),Cuajimalpa de Morelos,Santa Fe Cuajimalpa,-99.2651715,19.3591989
I-20220101-0013,02/01/2022,R-20220101-0099,01/01/2022,17:58:37,Agua Potable,Fuga,Ciudadano (Call Center),Tlalpan,Ampliacion Fuentes Del Pedregal,-99.2075514,19.3047887
I-20220101-0014,02/01/2022,R-20220101-0098,01/01/2022,17:55:50,Agua Potable,Falta de agua,Ciudadano (Call Center),Alvaro Obregon,Bellavista,-99.19216635,19.39639549
I-20220101-0015,02/01/2022,R-20220101-0097,01/01/2022,17:54:49,Agua Potable,Fuga,Ciudadano (Call Center),Gustavo A. Madero,Chalma De Guadalupe,-99.1468336,19.5499238
I-20220101-0016,02/01/2022,R-20220101-0115,01/01/2022,19:32:04,Drenaje,Brote en aguas negras,Ciudadano (Call Center),Tlahuac,Granjas Cabrera,-99.06372067,19.30450109
I-20220101-0017,02/01/2022,R-20220101-0113,01/01/2022,19:18:00,Agua Potable,Fuga,Ciudadano (Call Center),Miguel Hidalgo,Reforma Social,-99.21572687,19.43120424
I-20220101-0018,02/01/2022,R-20220101-0116,01/01/2022,19:40:06,Drenaje,Drenaje Obstruido,Ciudadano (Call Center),Iztacalco,Agricola Oriental,-99.0750347,19.3919707
I-20220101-0019,02/01/2022,R-20220101-0114,01/01/2022,19:28:03,Agua Potable,Fuga,Ciudadano (Call Center),Miguel Hidalgo,Lomas De Chapultepec Vi Seccion,-99.2122158,19.420738
I-20220101-0020,02/01/2022,R-20220101-0119,01/01/2022,19:51:38,Agua Potable,Falta de agua,Ciudadano (Call Center),Benito Juarez,Del Valle Sur,-99.1747443,19.3698575
I-20220101-0021,02/01/2022,R-20220101-0067,01/01/2022,14:04:01,Agua Potable,Fuga,Ciudadano (Call Center),Gustavo A. Madero,Chalma De Guadalupe,-99.15106416,19.55226834
I-20220101-0021,02/01/2022,R-20220101-0025,01/01/2022,11:04:13,Agua Potable,Fuga,Ciudadano (Call Center),Gustavo A. Madero,Chalma De Guadalupe,-99.15106416,19.55226834
I-20220101-0021,02/01/2022,R-20220101-0072,01/01/2022,14:25:55,Agua Potable,Fuga,Ciudadano (Call Center),Gustavo A. Madero,Chalma De Guadalupe,-99.15106416,19.55226834
I-20220101-0021,02/01/2022,R-20220101-0117,01/01/2022,19:48:23,Agua Potable,Fuga,Ciudadano (Call Center),Gustavo A. Madero,Chalma De Guadalupe,-99.15106416,19.55226834
I-20220101-0022,02/01/2022,R-20220101-0109,01/01/2022,19:05:18,Agua Potable,Fuga,Ciudadano (Call Center),Tlalpan,Pedregal De San Nicolas 4a Seccion,-99.23216343,19.27752425
I-20220101-0023,02/01/2022,R-20220101-0096,01/01/2022,17:47:27,Drenaje,Brote en aguas negras,Ciudadano (Call Center),Tlahuac,Granjas Cabrera,-99.06435371,19.30273923
I-20220101-0024,02/01/2022,R-20220101-0118,01/01/2022,19:48:26,Agua Potable,Falta de agua,Ciudadano (Call Center),Benito Juarez,Ciudad De Los Deportes,-99.1814637,19.381935
I-20220101-0025,02/01/2022,R-20220101-0095,01/01/2022,17:43:07,Agua Potable,Falta de agua,Ciudadano (Call Center),Alvaro Obregon,Bellavista,-99.1918793,19.3967088
I-20220101-0026,02/01/2022,R-20220101-0120,01/01/2022,19:56:15,Agua Potable,Falta de agua,Ciudadano (Call Center),Venustiano Carranza,Magdalena Mixiuhca,-99.121474,19.4096391
I-20220101-0027,02/01/2022,R-20220101-0094,01/01/2022,17:35:34,Agua Potable,Fuga,Ciudadano (Call Center),Alvaro Obregon,Torres De Potrero,-99.25656069,19.32782883
I-20220101-0028,02/01/2022,R-20220101-0093,01/01/2022,17:25:07,Agua Potable,Fuga,Ciudadano (Call Center),Gustavo A. Madero,Magdalena De Las Salinas,-99.1453809,19.4796171
I-20220101-0029,02/01/2022,R-20220101-0092,01/01/2022,17:14:59,Agua Potable,Fuga,Ciudadano (Call Center),Coyoacan,Romero De Terreros,-99.1750924,19.3362337
I-20220101-0030,02/01/2022,R-20220101-0091,01/01/2022,17:03:09,Agua Potable,Fuga,Ciudadano (Call Center),Miguel Hidalgo,Lomas De Chapultepec Iii Seccion,-99.21545866,19.43133071
I-20220101-0031,02/01/2022,R-20220101-0090,01/01/2022,16:49:40,Agua Potable,Falta de agua,Ciudadano (Call Center),Tlalpan,Pueblo San Andres Totoltepec,-99.1698416,19.2523663
I-20220101-0032,02/01/2022,R-20220101-0089,01/01/2022,16:43:58,Agua Potable,Falta de agua,Ciudadano (Call Center),Tlahuac,Miguel Hidalgo,-99.0485585,19.2970564
I-20220101-0033,02/01/2022,R-20220101-0088,01/01/2022,16:42:29,Agua Potable,Fuga,Ciudadano (Call Center),Miguel Hidalgo,Lomas De Chapultepec V Seccion,-99.21212204,19.42086358
I-20220101-0034,02/01/2022,R-20220101-0087,01/01/2022,16:33:32,Agua Potable,Falta de agua,Ciudadano (Call Center),Benito Juarez,Ciudad De Los Deportes,-99.1815341,19.3810086
I-20220101-0035,02/01/2022,R-20220101-0086,01/01/2022,16:24:12,Agua Potable,Fuga,Ciudadano (Call Center),Venustiano Carranza,Felipe Angeles,-99.1100811,19.4518386
I-20220101-0036,02/01/2022,R-20220101-0085,01/01/2022,16:17:55,Agua Potable,Falta de agua,Ciudadano (Call Center),Tlalpan,Pueblo San Miguel Topilejo,-99.14681018,19.18994045
I-20220101-0037,02/01/2022,R-20220101-0084,01/01/2022,16:10:51,Agua Potable,Fuga,Ciudadano (Call Center),Tlalpan,Jardines Del Ajusco,-99.2153305,19.2815383
I-20220101-0038,02/01/2022,R-20220101-0121,01/01/2022,20:09:18,Agua Potable,Fuga,Ciudadano (Call Center),Iztapalapa,Guadalupe Del Moral,-99.07816201,19.36686293
I-20220101-0039,02/01/2022,R-20220101-0123,01/01/2022,20:11:08,Agua Potable,Fuga,Ciudadano (Call Center),Tlalpan,Pedregal De San Nicolas 1a Seccion,-99.23338649,19.29117525
I-20220101-0040,02/01/2022,R-20220101-0122,01/01/2022,20:11:04,Agua Potable,Fuga,Ciudadano (Call Center),Tlalpan,Pedregal De San Nicolas 1a Seccion,-99.2334938,19.29202587
I-20220101-0040,02/01/2022,R-20220101-0126,01/01/2022,20:20:15,Agua Potable,Fuga,Ciudadano (Call Center),Tlalpan,Pedregal De San Nicolas 1a Seccion,-99.2334938,19.29202587
I-20220101-0040,02/01/2022,R-20220101-0129,01/01/2022,20:36:50,Agua Potable,Fuga,Ciudadano (Call Center),Tlalpan,Pedregal De San Nicolas 1a Seccion,-99.2334938,19.29202587
I-20220101-0041,02/01/2022,R-20220101-0124,01/01/2022,20:13:09,Drenaje,Drenaje Obstruido,Ciudadano (Call Center),Azcapotzalco,Ampliacion San Pedro Xalpa,-99.2138607,19.4776057
I-20220101-0042,02/01/2022,R-20220101-0083,01/01/2022,16:05:58,Agua Potable,Fuga,Ciudadano (Call Center),Cuajimalpa de Morelos,Bosques De Las Lomas,-99.2577219,19.3841539
I-20220101-0043,02/01/2022,R-20220101-0082,01/01/2022,15:51:37,Agua Potable,Falta de agua,Ciudadano (Call Center),Miguel Hidalgo,Tacuba,-99.1880665,19.4546537
I-20220101-0044,02/01/2022,R-20220101-0081,01/01/2022,15:44:18,Agua Potable,Fuga,Ciudadano (Call Center),Miguel Hidalgo,Irrigacion,-99.2136991,19.44439723
I-20220101-0045,02/01/2022,R-20220101-0080,01/01/2022,15:33:13,Agua Potable,Falta de agua,Ciudadano (Call Center),Benito Juarez,Del Valle Sur,-99.1744102,19.3694547
I-20220101-0046,02/01/2022,R-20220101-0079,01/01/2022,15:27:48,Agua Potable,Fuga,Ciudadano (Call Center),Iztapalapa,Palmitas,-99.02874472,19.33345776
I-20220101-0047,02/01/2022,R-20220101-0078,01/01/2022,15:17:35,Agua Potable,Fuga,Ciudadano (Call Center),Venustiano Carranza,Pensador Mexicano,-99.07903124,19.44284803
I-20220101-0048,02/01/2022,R-20220101-0077,01/01/2022,14:44:36,Agua Potable,Fuga,Ciudadano (Call Center),Tlalpan,Miguel Hidalgo 3a Seccion,-99.2052254,19.2846375
I-20220101-0049,02/01/2022,R-20220101-0075,01/01/2022,14:36:59,Agua Potable,Fuga,Ciudadano (Call Center),Azcapotzalco,Pueblo San Juan Tlihuaca,-99.2035909,19.4899372
I-20220101-0050,02/01/2022,R-20220101-0125,01/01/2022,20:16:26,Agua Potable,Falta de agua,Ciudadano (Call Center),Tlalpan,Ejidos De San Pedro Martir,-99.15944332,19.26754858
I-20220101-0051,02/01/2022,R-20220101-0073,01/01/2022,14:28:01,Agua Potable,Fuga,Ciudadano (Call Center),Benito Juarez,Letran Valle,-99.15224427,19.37332047
I-20220101-0052,02/01/2022,R-20220101-0071,01/01/2022,14:20:15,Agua Potable,Falta de agua,Ciudadano (Call Center),Benito Juarez,Del Valle Sur,-99.1749056,19.3702557
I-20220101-0053,02/01/2022,R-20220101-0070,01/01/2022,14:17:07,Agua Potable,Fuga,Ciudadano (Call Center),Gustavo A. Madero,Lomas De Cuautepec,-99.13268568,19.56824163
I-20220101-0054,02/01/2022,R-20220101-0069,01/01/2022,14:12:20,Agua Potable,Falta de agua,Ciudadano (Call Center),Gustavo A. Madero,Guadalupe Tepeyac,-99.1171316,19.4681678
I-20220101-0055,02/01/2022,R-20220101-0068,01/01/2022,14:08:27,Agua Potable,Fuga,Ciudadano (Call Center),Iztacalco,Viaducto Piedad,-99.13397312,19.40035233
I-20220101-0056,02/01/2022,R-20220101-0066,01/01/2022,13:55:44,Agua Potable,Fuga,Ciudadano (Call Center),Tlalpan,Popular Santa Teresa,-99.2245086,19.3003304
I-20220101-0057,02/01/2022,R-20220101-0065,01/01/2022,13:52:08,Agua Potable,Fuga,Ciudadano (Call Center),Tlalpan,Miguel Hidalgo,-99.18568619,19.28632968
I-20220101-0058,02/01/2022,R-20220101-0064,01/01/2022,13:49:19,Agua Potable,Falta de agua,Ciudadano (Call Center),Benito Juarez,Del Valle Sur,-99.1734704,19.3716225
I-20220101-0059,02/01/2022,R-20220101-0063,01/01/2022,13:38:51,Agua Potable,Fuga,Ciudadano (Call Center),Gustavo A. Madero,C T M Atzacoalco,-99.09342882,19.50620993
I-20220101-0060,02/01/2022,R-20220101-0127,01/01/2022,20:22:10,Agua Potable,Fuga,Ciudadano (Call Center),Iztacalco,Los Picos De Iztacalco Seccion 1 B,-99.1109606,19.388579
I-20220101-0061,02/01/2022,R-20220101-0062,01/01/2022,13:34:30,Agua Potable,Fuga,Ciudadano (Call Center),Venustiano Carranza,Pensador Mexicano,-99.0789001,19.4430377
I-20220101-0062,02/01/2022,R-20220101-0061,01/01/2022,13:31:44,Agua Potable,Fuga,Ciudadano (Call Center),Cuajimalpa de Morelos,Bosques De Las Lomas,-99.255038,19.3873
I-20220101-0063,02/01/2022,R-20220101-0060,01/01/2022,13:31:19,Agua Potable,Fuga,Ciudadano (Call Center),Tlalpan,Pueblo Ocotla,-99.1561676,19.2121395
