Street Name,dia,hora,Current Speed (km/h)
Alfonso Reyes,2024-09-12,18,11.457692307692309
Alfonso Reyes,2024-09-12,19,10.605239179954443
Alfonso Reyes,2024-09-12,20,13.522727272727273
Alfonso Reyes,2024-09-12,21,14.853168231225297
Alfonso Reyes,2024-09-12,22,15.35294117647059
Alfonso Reyes,2024-09-12,23,16.119476268412438
Alfonso Reyes,2024-09-13,0,16.470666413518135
Alfonso Reyes,2024-09-13,1,17.70734597156398
Alfonso Reyes,2024-09-13,2,17.91831416247304
Alfonso Reyes,2024-09-13,3,18.21951219512195
Alfonso Reyes,2024-09-13,4,19.545454545454547
Alfonso Reyes,2024-09-13,5,18.09648158328752
Alfonso Reyes,2024-09-13,6,16.47692307692308
Alfonso Reyes,2024-09-13,7,14.88765874308043
Alfonso Reyes,2024-09-13,8,13.854596622889307
Alfonso Reyes,2024-09-13,9,13.3453300124533
Alfonso Reyes,2024-09-13,10,14.177190296253636
Alfonso Reyes,2024-09-13,11,12.721729490022174
Alfonso Reyes,2024-09-13,12,12.11986681465039
Alfonso Reyes,2024-09-13,13,12.601260126012601
Alfonso Reyes,2024-09-13,14,11.715175320942711
Alfonso Reyes,2024-09-13,15,11.73924365614421
Alfonso Reyes,2024-09-13,16,12.115882473803165
Alfonso Reyes,2024-09-13,17,12.39179104477612
Alfonso Reyes,2024-09-13,18,13.239970555760031
Alfonso Reyes,2024-09-13,19,12.649954339933627
Alfonso Reyes,2024-09-13,20,12.771434431833722
Alfonso Reyes,2024-09-13,21,13.395679662802952
Alfonso Reyes,2024-09-13,22,13.855263157894736
Alfonso Reyes,2024-09-13,23,14.76428116372903
Alfonso Reyes,2024-09-14,0,16.737460815047022
Alfonso Reyes,2024-09-14,1,17.143650499814882
Alfonso Reyes,2024-09-14,2,17.182173185396394
Alfonso Reyes,2024-09-14,3,17.622473375353184
Alfonso Reyes,2024-09-14,4,17.830188679245285
Alfonso Reyes,2024-09-14,5,18.493062200956942
Alfonso Reyes,2024-09-14,6,18.142120528520785
Alfonso Reyes,2024-09-14,7,18.349946977730646
Alfonso Reyes,2024-09-14,8,15.146551724137932
Alfonso Reyes,2024-09-14,9,15.685727568572759
Alfonso Reyes,2024-09-14,10,15.031306327672898
Alfonso Reyes,2024-09-14,11,14.54190340909091
Alfonso Reyes,2024-09-14,12,14.51189318242108
Alfonso Reyes,2024-09-14,13,13.551172502409251
Alfonso Reyes,2024-09-14,14,13.08138283883616
Alfonso Reyes,2024-09-14,15,12.70187070802747
Alfonso Reyes,2024-09-14,16,13.240295431123327
Alfonso Reyes,2024-09-14,17,13.240945229681978
Alfonso Reyes,2024-09-14,18,13.405772495755517
Alfonso Reyes,2024-09-14,19,13.357557595055255
Alfonso Reyes,2024-09-14,20,13.657601252201136
Alfonso Reyes,2024-09-14,21,13.790669856459331
Alfonso Reyes,2024-09-14,22,14.297297297297298
Alfonso Reyes,2024-09-14,23,14.731054483935775
Alfonso Reyes,2024-09-15,0,17.003275109170307
Alfonso Reyes,2024-09-15,1,15.238473767885534
Alfonso Reyes,2024-09-15,2,16.916900280336407
Alfonso Reyes,2024-09-15,3,17.028409090909093
Alfonso Reyes,2024-09-15,4,17.58139534883721
Alfonso Reyes,2024-09-15,5,18.94843962008141
Alfonso Reyes,2024-09-15,6,19.045842217484008
Alfonso Reyes,2024-09-15,7,17.584819110264846
Alfonso Reyes,2024-09-15,8,16.858415614236513
Alfonso Reyes,2024-09-15,9,14.084319289250699
Alfonso Reyes,2024-09-15,10,15.214486112409986
Alfonso Reyes,2024-09-15,11,14.919153135372746
Alfonso Reyes,2024-09-15,12,14.833483348334834
Alfonso Reyes,2024-09-15,13,14.541176470588233
Alfonso Reyes,2024-09-15,14,14.197671294223017
Alfonso Reyes,2024-09-15,15,13.95308924485126
Alfonso Reyes,2024-09-15,16,14.459348761007579
Alfonso Reyes,2024-09-15,17,14.354145854145854
Alfonso Reyes,2024-09-15,18,14.092335462371565
Alfonso Reyes,2024-09-15,19,14.462072823560124
Alfonso Reyes,2024-09-15,20,14.683578227283789
Alfonso Reyes,2024-09-15,21,15.375497732155647
Alfonso Reyes,2024-09-15,22,16.306777818050016
Alfonso Reyes,2024-09-15,23,18.00692307692308
Alfonso Reyes,2024-09-16,0,17.944561346450932
Alfonso Reyes,2024-09-16,1,18.236371882086168
Alfonso Reyes,2024-09-16,2,17.385494505494506
Alfonso Reyes,2024-09-16,3,17.832924541913144
Alfonso Reyes,2024-09-16,4,17.116124927875013
Alfonso Reyes,2024-09-16,5,18.91077890087488
Alfonso Reyes,2024-09-16,6,17.45642597203601
Alfonso Reyes,2024-09-16,7,16.205155509859363
Alfonso Reyes,2024-09-16,8,16.018099547511312
Alfonso Reyes,2024-09-16,9,14.952157598499063
Alfonso Reyes,2024-09-16,10,14.406324409082991
Alfonso Reyes,2024-09-16,11,14.596552958015268
Alfonso Reyes,2024-09-16,12,15.150361445783133
Alfonso Reyes,2024-09-16,13,14.496378036058012
Alfonso Reyes,2024-09-16,14,13.597826086956523
Alfonso Reyes,2024-09-16,15,13.736842105263158
Alfonso Reyes,2024-09-16,16,14.000000000000002
Alfonso Reyes,2024-09-16,17,14.217760180995477
Alfonso Reyes,2024-09-16,18,13.673076923076923
Alfonso Reyes,2024-09-16,19,14.427691097417071
Alfonso Reyes,2024-09-16,20,14.654685339905033
Alfonso Reyes,2024-09-16,21,15.037012432381134
Alfonso Reyes,2024-09-16,22,16.294314381270905
Alfonso Reyes,2024-09-16,23,16.275
Alfonso Reyes,2024-09-17,0,18.112662493981706
Alfonso Reyes,2024-09-17,1,18.957013574660635
Alfonso Reyes,2024-09-17,2,19.290233551175568
Alfonso Reyes,2024-09-17,3,18.263633400083826
Alfonso Reyes,2024-09-17,4,18.310344827586206
Alfonso Reyes,2024-09-17,5,18.217819482510336
Alfonso Reyes,2024-09-17,6,17.4197247706422
Alfonso Reyes,2024-09-17,7,15.060713382241337
Alfonso Reyes,2024-09-17,8,15.075075075075075
Alfonso Reyes,2024-09-17,9,14.23733862959285
Alfonso Reyes,2024-09-17,10,14.292392143408527
Alfonso Reyes,2024-09-17,11,13.974169741697418
Alfonso Reyes,2024-09-17,12,13.261446582614465
Alfonso Reyes,2024-09-17,13,13.757096915075238
Alfonso Reyes,2024-09-17,14,13.26903890921184
Alfonso Reyes,2024-09-17,15,11.240539251809789
Alfonso Reyes,2024-09-17,16,12.519688907081457
Alfonso Reyes,2024-09-17,17,13.126424308193165
Alfonso Reyes,2024-09-17,18,13.770903010033447
Alfonso Reyes,2024-09-17,19,13.13782991202346
Alfonso Reyes,2024-09-17,20,13.820887142055025
Alfonso Reyes,2024-09-17,21,14.124142546427974
Alfonso Reyes,2024-09-17,22,15.11637931034483
Alfonso Reyes,2024-09-17,23,16.77777777777778
Alfonso Reyes,2024-09-18,0,16.883412095471677
Alfonso Reyes,2024-09-18,1,17.181818181818183
Alfonso Reyes,2024-09-18,2,20.05657828069583
Alfonso Reyes,2024-09-18,3,18.46714806606134
Alfonso Reyes,2024-09-18,4,17.263513513513516
Alfonso Reyes,2024-09-18,5,16.688823047834394
Alfonso Reyes,2024-09-18,6,17.87323943661972
Alfonso Reyes,2024-09-18,7,15.556609365737998
Alfonso Reyes,2024-09-18,8,15.245901639344261
Alfonso Reyes,2024-09-18,9,14.539321853364104
Alfonso Reyes,2024-09-18,10,13.90909090909091
Alfonso Reyes,2024-09-18,11,14.347882454624028
Alfonso Reyes,2024-09-18,12,13.217105263157896
Alfonso Reyes,2024-09-18,13,13.034637748367995
Alfonso Reyes,2024-09-18,14,13.239970555760031
Alfonso Reyes,2024-09-18,15,9.888248108087689
Alfonso Reyes,2024-09-18,16,11.8125
Alfonso Reyes,2024-09-18,17,12.13779280367061
Alfonso Reyes,2024-09-18,18,12.713962690785754
Alfonso Reyes,2024-09-18,19,11.933997855525991
Alfonso Reyes,2024-09-18,20,13.771634104905502
Alfonso Reyes,2024-09-18,21,14.765850308995194
Alfonso Reyes,2024-09-18,22,15.684647302904565
Alfonso Reyes,2024-09-18,23,16.421463304308496
Alfonso Reyes,2024-09-19,0,17.194607559341662
Alfonso Reyes,2024-09-19,1,17.790697674418603
Alfonso Reyes,2024-09-19,2,19.09870368480147
Alfonso Reyes,2024-09-19,3,19.142307692307693
Alfonso Reyes,2024-09-19,4,21.180625313912607
Alfonso Reyes,2024-09-19,5,21.0
Alfonso Reyes,2024-09-19,6,18.205821205821206
Alfonso Reyes,2024-09-19,7,15.736913169921065
Alfonso Reyes,2024-09-19,8,14.807279529007728
Alfonso Reyes,2024-09-19,9,14.345402696163152
Alfonso Reyes,2024-09-19,10,14.377820201318986
Alfonso Reyes,2024-09-19,11,14.006916996047432
Alfonso Reyes,2024-09-19,12,13.458093126385808
Alfonso Reyes,2024-09-19,13,12.589578163771712
Alfonso Reyes,2024-09-19,14,13.361061151079138
Alfonso Reyes,2024-09-19,15,13.87034640274077
Alfonso Reyes,2024-09-19,16,11.636537165955536
Alfonso Reyes,2024-09-19,17,11.568396226415095
Alfonso Reyes,2024-09-19,18,13.29340651190388
Alfonso Reyes,2024-09-19,19,12.200519750519751
Alfonso Reyes,2024-09-19,20,13.162053729802949
Alfonso Reyes,2024-09-19,21,14.795937126574135
Alfonso Reyes,2024-09-19,22,14.596552958015268
Alfonso Reyes,2024-09-19,23,16.120062559103808
Alfonso Reyes,2024-09-20,0,16.73187414500684
Alfonso Reyes,2024-09-20,1,17.028409090909093
Alfonso Reyes,2024-09-20,2,16.851542952460385
Alfonso Reyes,2024-09-20,3,18.047996718173117
Alfonso Reyes,2024-09-20,4,18.353407028543145
Alfonso Reyes,2024-09-20,5,17.705015137554298
Alfonso Reyes,2024-09-20,6,16.876345371920593
Alfonso Reyes,2024-09-20,7,14.95964209735953
Alfonso Reyes,2024-09-20,8,14.21374045801527
Alfonso Reyes,2024-09-20,9,13.451957295373665
Alfonso Reyes,2024-09-20,10,13.680951882297505
Alfonso Reyes,2024-09-20,11,13.149774938289532
Alfonso Reyes,2024-09-20,12,12.839792387543254
Alfonso Reyes,2024-09-20,13,12.092462618248398
Alfonso Reyes,2024-09-20,14,12.13561313462371
Alfonso Reyes,2024-09-20,15,11.695187165775401
Alfonso Reyes,2024-09-20,16,11.207556067910291
Alfonso Reyes,2024-09-20,17,13.023115911923558
Alfonso Reyes,2024-09-20,18,12.706205369248849
Alfonso Reyes,2024-09-20,19,12.292715427894581
Alfonso Reyes,2024-09-20,20,13.980680450716552
Alfonso Reyes,2024-09-20,21,14.039940461423965
Alfonso Reyes,2024-09-20,22,14.3828125
Alfonso Reyes,2024-09-20,23,15.441176470588236
Alfonso Reyes,2024-09-21,0,16.733854380913208
Alfonso Reyes,2024-09-21,1,17.43268229443394
Alfonso Reyes,2024-09-21,2,18.32926313812051
Alfonso Reyes,2024-09-21,3,17.91630163757666
Alfonso Reyes,2024-09-21,4,17.7962158808933
Alfonso Reyes,2024-09-21,5,16.54509359047079
Alfonso Reyes,2024-09-21,6,18.179800221975583
Alfonso Reyes,2024-09-21,7,16.689473684210526
Alfonso Reyes,2024-09-21,8,15.094691535150647
Alfonso Reyes,2024-09-21,9,13.72159090909091
Alfonso Reyes,2024-09-21,10,14.900597501357959
Alfonso Reyes,2024-09-21,11,13.194078947368421
Alfonso Reyes,2024-09-21,12,14.543840177580467
Alfonso Reyes,2024-09-21,13,14.053792569659443
Alfonso Reyes,2024-09-21,14,13.846153846153847
Alfonso Reyes,2024-09-21,15,12.93399934490665
Alfonso Reyes,2024-09-21,16,12.764317305833798
Alfonso Reyes,2024-09-21,17,12.791222313371616
Alfonso Reyes,2024-09-21,18,13.356890459363957
Alfonso Reyes,2024-09-21,19,12.148813538537004
Alfonso Reyes,2024-09-21,20,13.452638778069076
Alfonso Reyes,2024-09-21,21,13.957652060170046
Alfonso Reyes,2024-09-21,22,13.885069556777742
Alfonso Reyes,2024-09-21,23,14.637362637362639
Alfonso Reyes,2024-09-22,0,16.586924305702574
Alfonso Reyes,2024-09-22,1,16.514423076923077
Alfonso Reyes,2024-09-22,2,16.43509329098849
Alfonso Reyes,2024-09-22,3,17.4197247706422
Alfonso Reyes,2024-09-22,4,18.26086956521739
Alfonso Reyes,2024-09-22,5,18.54054963814287
Alfonso Reyes,2024-09-22,6,18.713329902213072
