Street Name,Latitud,Longitud,Timestamp,Current Travel Time (seconds),Free Flow Travel Time (seconds),Distance (meters),Current Speed (km/h),Free Flow Speed (km/h)
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-14T19:45:50.385917,465,442,2252,17.434838709677418,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-14T19:45:51.555530,197,192,1103,20.156345177664974,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-14T19:45:52.704742,678,623,3164,16.8,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-14T19:45:53.887958,627,632,5652,32.45167464114833,32.19493670886076
Amsterdam,19.4096629733812,-99.171524335536,2024-09-14T19:45:55.077935,241,247,987,14.74356846473029,14.385425101214576
Amsterdam,19.4094830928443,-99.1711683254619,2024-09-14T19:45:56.301544,246,254,1022,14.95609756097561,14.485039370078741
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-14T19:45:57.456972,96,111,768,28.799999999999997,24.90810810810811
Durango,19.4181411170688,-99.1747665701085,2024-09-14T19:45:58.654131,290,282,1220,15.144827586206896,15.574468085106382
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-14T19:45:59.801173,392,272,1110,10.19387755102041,14.691176470588237
Salamanca,19.4218287295025,-99.170230063732,2024-09-14T19:46:01.015133,57,75,535,33.78947368421053,25.680000000000003
Puebla,19.4222855873235,-99.1644452406813,2024-09-14T19:46:02.204618,299,282,954,11.486287625418061,12.178723404255319
Colima,19.4180548118505,-99.1682470033675,2024-09-14T19:46:03.412500,114,95,298,9.410526315789472,11.292631578947368
Laredo,19.4131443328286,-99.1715287130923,2024-09-14T19:46:04.601637,57,55,156,9.852631578947367,10.210909090909091
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-14T20:16:05.834125,478,442,2252,16.96066945606695,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-14T20:16:07.044061,197,192,1103,20.156345177664974,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-14T20:16:08.223492,690,623,3164,16.50782608695652,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-14T20:16:09.402979,600,632,5652,33.912000000000006,32.19493670886076
Amsterdam,19.4096629733812,-99.171524335536,2024-09-14T20:16:10.600021,243,247,987,14.622222222222222,14.385425101214576
Amsterdam,19.4094830928443,-99.1711683254619,2024-09-14T20:16:11.960040,248,254,1022,14.835483870967742,14.485039370078741
Juan Escutia,19.4168100657109,-99.1787589688272,2024-09-14T20:16:13.269870,101,111,768,27.374257425742574,24.90810810810811
Durango,19.4181411170688,-99.1747665701085,2024-09-14T20:16:14.481004,270,282,1220,16.266666666666666,15.574468085106382
Av. Alvaro Obregon,19.4165333917315,-99.1686609116258,2024-09-14T20:16:15.627686,356,272,1110,11.224719101123597,14.691176470588237
Salamanca,19.4218287295025,-99.170230063732,2024-09-14T20:16:16.821646,57,75,535,33.78947368421053,25.680000000000003
Puebla,19.4222855873235,-99.1644452406813,2024-09-14T20:16:18.017244,305,282,954,11.260327868852459,12.178723404255319
Colima,19.4180548118505,-99.1682470033675,2024-09-14T20:16:19.230340,101,95,298,10.62178217821782,11.292631578947368
Laredo,19.4131443328286,-99.1715287130923,2024-09-14T20:16:20.591181,59,55,156,9.51864406779661,10.210909090909091
Av. Insurgentes,19.4037031532808,-99.1692699611328,2024-09-14T20:46:22.002282,453,442,2252,17.896688741721857,18.342081447963803
Av. Nuevo León,19.4035424706988,-99.1711530598268,2024-09-14T20:46:23.175802,197,192,1103,20.156345177664974,20.68125
Av. Chapultepec,19.4203408773342,-99.1767217657321,2024-09-14T20:46:24.358758,656,623,3164,17.36341463414634,18.283146067415732
Cto. Bicentenario,19.4080683386285,-99.1841719353224,2024-09-14T20:46:25.519655,633,632,5652,32.14407582938389,32.19493670886076
